"Conditions","Koşullar"
"Rich snippet extender","Zengin snippet genişletici"
"Back","Geri"
"General","Genel"
"Is active","Aktif"
"Entity type","Varlık türü"
"Store view","Mağaza Görünümü"
"Snippet extension","Snippet uzantısı"
"JSON snippet","JSON snippet"
"Enclose the JSON snippet in curly braces","JSON snippet'i süslü parantezler içine alın"
"Override non-empty fields","Boş olmayan alanları geçersiz kıl"
"Add extender","Genişletici ekle"
"ID","ID"
Answer Engine (AEO),Yanıt Motoru (AEO)
Enable Answer-Engine Optimization,Yanıt Motoru Optimizasyonunu Etkinleştir
"Make the structured-data graph discoverable to AI answer engines (ChatGPT search, Perplexity, Gemini, Google AI Overviews). When enabled, the emitted JSON-LD nodes carry stable @id values and are cross-referenced into one connected graph, so an answer engine can assemble a single confident entity from the page. When disabled, output is identical to the standard rich-snippet behaviour.","Yapılandırılmış veri grafiğini yapay zekâ yanıt motorları (ChatGPT araması, Perplexity, Gemini, Google AI Overviews) tarafından keşfedilebilir hale getirin. Etkinleştirildiğinde, yayımlanan JSON-LD düğümleri kararlı @id değerleri taşır ve tek bir bağlı grafikte birbirine bağlanır; böylece bir yanıt motoru sayfadan tek bir güvenilir varlık oluşturabilir. Devre dışı bırakıldığında çıktı, standart zengin snippet davranışıyla aynıdır."
"Adds stable @id values to each structured-data node and stitches them into one connected graph (Product references its brand and the selling Organization). Off by default; turning it on does not change which entities are emitted, only links them.","Her yapılandırılmış veri düğümüne kararlı @id değerleri ekler ve bunları tek bir bağlı grafikte birbirine bağlar (ürün, markasına ve satıcı kuruluşa referans verir). Varsayılan olarak kapalıdır; açmak hangi varlıkların yayımlandığını değiştirmez, yalnızca onları birbirine bağlar."
"Legal name","Ticari unvan"
"Enter your organization's full registered legal name, if it differs from the display name above. Helps search engines distinguish your official business identity.","Yukarıdaki görünen adından farklıysa, organizasyonunuzun tam kayıtlı ticari unvanını girin. Arama motorlarının resmi işletme kimliğinizi ayırt etmesine yardımcı olur."
"Founding date","Kuruluş tarihi"
"Enter the date your organization was founded, in YYYY-MM-DD format. Used by search engines for Knowledge Graph and trust signals.","Organizasyonunuzun kuruluş tarihini YYYY-AA-GG formatında girin. Arama motorları tarafından Bilgi Grafiği ve güven sinyalleri için kullanılır."
"Number of employees","Çalışan sayısı"
"Enter the approximate number of employees in your organization.","Kuruluşunuzdaki yaklaşık çalışan sayısını girin."
"Area served","Hizmet verilen bölge"
"Enter the geographic area your organization serves, e.g. ""United States"" or ""Worldwide"".","Kuruluşunuzun hizmet verdiği coğrafi bölgeyi girin, örn. ""Türkiye"" veya ""Dünya genelinde""."
"<strong><u>Contact points:</u></strong>","<strong><u>İletişim noktaları:</u></strong>"
"Define dedicated phone/email contact points by department. These are added in addition to the general telephone/email above, and help search engines and users reach the right department directly.","Departmana göre özel telefon/e-posta iletişim noktaları tanımlayın. Bunlar yukarıdaki genel telefon/e-postaya ek olarak eklenir ve arama motorlarının ve kullanıcıların doğrudan doğru departmana ulaşmasına yardımcı olur."
"Customer service telephone","Müşteri hizmetleri telefonu"
"Customer service email","Müşteri hizmetleri e-postası"
"Customer service area served","Müşteri hizmetlerinin hizmet verdiği bölge"
"Sales telephone","Satış telefonu"
"Sales email","Satış e-postası"
"Sales area served","Satışın hizmet verdiği bölge"
"Technical support telephone","Teknik destek telefonu"
"Technical support email","Teknik destek e-postası"
"Technical support area served","Teknik desteğin hizmet verdiği bölge"
"Controls how the customer service contact email is determined. Store information uses your Customer Support sender email.","Müşteri hizmetleri iletişim e-postasının nasıl belirlendiğini kontrol eder. Mağaza bilgileri kullanıldığında Müşteri Desteği gönderen e-postanız kullanılır."
"Customer service email value","Müşteri hizmetleri e-posta değeri"
"Enter the customer service contact email address when using custom specification.","Özel belirtim kullanırken müşteri hizmetleri iletişim e-posta adresini girin."
"Controls how the sales contact email is determined. Store information uses your Sales Representative sender email.","Satış iletişim e-postasının nasıl belirlendiğini kontrol eder. Mağaza bilgileri kullanıldığında Satış Temsilcisi gönderen e-postanız kullanılır."
"Sales email value","Satış e-posta değeri"
"Enter the sales contact email address when using custom specification.","Özel belirtim kullanırken satış iletişim e-posta adresini girin."
