"Conditions","Voorwaarden"
"Adds stable @id values to each structured-data node and stitches them into one connected graph (Product references its brand and the selling Organization). Off by default; turning it on does not change which entities are emitted, only links them.","Voegt stabiele @id-waarden toe aan elk knooppunt met gestructureerde gegevens en koppelt ze tot één samenhangende grafiek (het product verwijst naar zijn merk en de verkopende organisatie). Standaard uit; inschakelen verandert niet welke entiteiten worden uitgegeven, het koppelt ze alleen."
"Legal name","Statutaire naam"
"Enter your organization's full registered legal name, if it differs from the display name above. Helps search engines distinguish your official business identity.","Voer de volledige geregistreerde statutaire naam van uw organisatie in, als deze afwijkt van de hierboven weergegeven naam. Helpt zoekmachines uw officiële bedrijfsidentiteit te herkennen."
"Founding date","Oprichtingsdatum"
"Enter the date your organization was founded, in YYYY-MM-DD format. Used by search engines for Knowledge Graph and trust signals.","Voer de oprichtingsdatum van uw organisatie in, in JJJJ-MM-DD-formaat. Wordt door zoekmachines gebruikt voor de Knowledge Graph en vertrouwenssignalen."
"Number of employees","Aantal werknemers"
"Enter the approximate number of employees in your organization.","Voer het geschatte aantal werknemers van uw organisatie in."
"Area served","Bediend gebied"
"Enter the geographic area your organization serves, e.g. ""United States"" or ""Worldwide"".","Voer het geografische gebied in dat uw organisatie bedient, bijv. ""Nederland"" of ""Wereldwijd""."
"<strong><u>Contact points:</u></strong>","<strong><u>Contactpunten:</u></strong>"
"Define dedicated phone/email contact points by department. These are added in addition to the general telephone/email above, and help search engines and users reach the right department directly.","Definieer specifieke telefoon-/e-mailcontactpunten per afdeling. Deze worden toegevoegd naast de algemene telefoon/e-mail hierboven en helpen zoekmachines en gebruikers rechtstreeks de juiste afdeling te bereiken."
"Customer service telephone","Telefoonnummer klantenservice"
"Customer service email","E-mail klantenservice"
"Customer service area served","Bediend gebied klantenservice"
"Sales telephone","Telefoonnummer verkoop"
"Sales email","E-mail verkoop"
"Sales area served","Bediend gebied verkoop"
"Technical support telephone","Telefoonnummer technische ondersteuning"
"Technical support email","E-mail technische ondersteuning"
"Technical support area served","Bediend gebied technische ondersteuning"
"Controls how the customer service contact email is determined. Store information uses your Customer Support sender email.","Bepaalt hoe het contact-e-mailadres van de klantenservice wordt vastgesteld. Bij winkelinformatie wordt uw afzender-e-mail voor klantenondersteuning gebruikt."
"Customer service email value","E-mailwaarde klantenservice"
"Enter the customer service contact email address when using custom specification.","Voer het contact-e-mailadres van de klantenservice in bij aangepaste specificatie."
"Controls how the sales contact email is determined. Store information uses your Sales Representative sender email.","Bepaalt hoe het contact-e-mailadres van verkoop wordt vastgesteld. Bij winkelinformatie wordt uw afzender-e-mail voor de verkoopvertegenwoordiger gebruikt."
"Sales email value","E-mailwaarde verkoop"
"Enter the sales contact email address when using custom specification.","Voer het contact-e-mailadres van verkoop in bij aangepaste specificatie."
