"Conditions","Warunki"
"Make the structured-data graph discoverable to AI answer engines (ChatGPT search, Perplexity, Gemini, Google AI Overviews). When enabled, the emitted JSON-LD nodes carry stable @id values and are cross-referenced into one connected graph, so an answer engine can assemble a single confident entity from the page. When disabled, output is identical to the standard rich-snippet behaviour.","Spraw, aby graf danych strukturalnych był wykrywalny przez silniki odpowiedzi AI (wyszukiwarka ChatGPT, Perplexity, Gemini, Google AI Overviews). Po włączeniu emitowane węzły JSON-LD niosą stabilne wartości @id i są ze sobą powiązane w jeden spójny graf, dzięki czemu silnik odpowiedzi może złożyć ze strony jedną wiarygodną encję. Po wyłączeniu dane wyjściowe są identyczne ze standardowym zachowaniem fragmentów rozszerzonych."
"Adds stable @id values to each structured-data node and stitches them into one connected graph (Product references its brand and the selling Organization). Off by default; turning it on does not change which entities are emitted, only links them.","Dodaje stabilne wartości @id do każdego węzła danych strukturalnych i łączy je w jeden spójny graf (produkt odwołuje się do swojej marki i sprzedającej organizacji). Domyślnie wyłączone; włączenie nie zmienia, które encje są emitowane, jedynie je łączy."
"Legal name","Nazwa prawna"
"Enter your organization's full registered legal name, if it differs from the display name above. Helps search engines distinguish your official business identity.","Wprowadź pełną zarejestrowaną nazwę prawną organizacji, jeśli różni się od nazwy wyświetlanej powyżej. Pomaga wyszukiwarkom rozpoznać oficjalną tożsamość firmy."
"Founding date","Data założenia"
"Enter the date your organization was founded, in YYYY-MM-DD format. Used by search engines for Knowledge Graph and trust signals.","Wprowadź datę założenia organizacji w formacie RRRR-MM-DD. Używana przez wyszukiwarki do Knowledge Graph i sygnałów zaufania."
"Number of employees","Liczba pracowników"
"Enter the approximate number of employees in your organization.","Wprowadź przybliżoną liczbę pracowników organizacji."
"Area served","Obsługiwany obszar"
"Enter the geographic area your organization serves, e.g. ""United States"" or ""Worldwide"".","Wprowadź obszar geograficzny obsługiwany przez organizację, np. „Polska” lub „Cały świat”."
"<strong><u>Contact points:</u></strong>","<strong><u>Punkty kontaktowe:</u></strong>"
"Define dedicated phone/email contact points by department. These are added in addition to the general telephone/email above, and help search engines and users reach the right department directly.","Zdefiniuj dedykowane punkty kontaktu telefonicznego/e-mailowego według działu. Są one dodawane oprócz ogólnego telefonu/e-maila powyżej i pomagają wyszukiwarkom oraz użytkownikom dotrzeć bezpośrednio do właściwego działu."
"Customer service telephone","Telefon obsługi klienta"
"Customer service email","E-mail obsługi klienta"
"Customer service area served","Obsługiwany obszar obsługi klienta"
"Sales telephone","Telefon działu sprzedaży"
"Sales email","E-mail działu sprzedaży"
"Sales area served","Obsługiwany obszar działu sprzedaży"
"Technical support telephone","Telefon wsparcia technicznego"
"Technical support email","E-mail wsparcia technicznego"
"Technical support area served","Obsługiwany obszar wsparcia technicznego"
"Controls how the customer service contact email is determined. Store information uses your Customer Support sender email.","Kontroluje sposób ustalania kontaktowego adresu e-mail obsługi klienta. Informacje ze sklepu wykorzystują adres e-mail nadawcy działu obsługi klienta."
"Customer service email value","Wartość e-maila obsługi klienta"
"Enter the customer service contact email address when using custom specification.","Wprowadź kontaktowy adres e-mail obsługi klienta przy użyciu niestandardowej specyfikacji."
"Controls how the sales contact email is determined. Store information uses your Sales Representative sender email.","Kontroluje sposób ustalania kontaktowego adresu e-mail działu sprzedaży. Informacje ze sklepu wykorzystują adres e-mail nadawcy przedstawiciela handlowego."
"Sales email value","Wartość e-maila działu sprzedaży"
"Enter the sales contact email address when using custom specification.","Wprowadź kontaktowy adres e-mail działu sprzedaży przy użyciu niestandardowej specyfikacji."
