"Conditions","الشروط"
"Rich snippet extender","موسّع المقتطفات المنسقة"
"Back","رجوع"
"General","عام"
"Is active","نشط"
"Entity type","نوع الكيان"
"Store view","عرض المتجر"
"Snippet extension","امتداد المقتطف"
"JSON snippet","مقتطف JSON"
"Enclose the JSON snippet in curly braces","أحط مقتطف JSON بأقواس معقوفة"
"Override non-empty fields","تجاوز الحقول غير الفارغة"
"Add extender","إضافة موسّع"
"ID","المعرّف"
Answer Engine (AEO),محرك الإجابة (AEO)
Enable Answer-Engine Optimization,تفعيل تحسين محرك الإجابة
"Make the structured-data graph discoverable to AI answer engines (ChatGPT search, Perplexity, Gemini, Google AI Overviews). When enabled, the emitted JSON-LD nodes carry stable @id values and are cross-referenced into one connected graph, so an answer engine can assemble a single confident entity from the page. When disabled, output is identical to the standard rich-snippet behaviour.",اجعل رسم البيانات المنظمة قابلاً للاكتشاف بواسطة محركات الإجابة بالذكاء الاصطناعي (بحث ChatGPT وPerplexity وGemini ونظرات Google الذكية العامة). عند التفعيل، تحمل عُقد JSON-LD المُصدَّرة قيم @id ثابتة ويتم الربط بينها في رسم بياني واحد متصل، حتى يتمكن محرك الإجابة من تجميع كيان واحد موثوق من الصفحة. عند التعطيل، يكون الإخراج مطابقاً للسلوك القياسي للمقتطفات الغنية.
"Adds stable @id values to each structured-data node and stitches them into one connected graph (Product references its brand and the selling Organization). Off by default; turning it on does not change which entities are emitted, only links them.",يضيف قيم @id ثابتة إلى كل عقدة بيانات منظمة ويربطها في رسم بياني واحد متصل (يشير المنتج إلى علامته التجارية والمنظمة البائعة). معطّل افتراضياً؛ تفعيله لا يغيّر الكيانات المُصدَّرة، بل يربطها فقط.
"Legal name","الاسم القانوني"
"Enter your organization's full registered legal name, if it differs from the display name above. Helps search engines distinguish your official business identity.","أدخل الاسم القانوني الكامل المسجل لمؤسستك، إذا كان مختلفًا عن الاسم المعروض أعلاه. يساعد محركات البحث على تمييز هويتك التجارية الرسمية."
"Founding date","تاريخ التأسيس"
"Enter the date your organization was founded, in YYYY-MM-DD format. Used by search engines for Knowledge Graph and trust signals.","أدخل تاريخ تأسيس مؤسستك بصيغة YYYY-MM-DD. تستخدمه محركات البحث لبيانات المعرفة (Knowledge Graph) وإشارات الثقة."
"Number of employees","عدد الموظفين"
"Enter the approximate number of employees in your organization.","أدخل العدد التقريبي لموظفي مؤسستك."
"Area served","المنطقة المخدومة"
"Enter the geographic area your organization serves, e.g. ""United States"" or ""Worldwide"".","أدخل المنطقة الجغرافية التي تخدمها مؤسستك، على سبيل المثال ""المملكة العربية السعودية"" أو ""جميع أنحاء العالم""."
"<strong><u>Contact points:</u></strong>","<strong><u>نقاط الاتصال:</u></strong>"
"Define dedicated phone/email contact points by department. These are added in addition to the general telephone/email above, and help search engines and users reach the right department directly.","حدد نقاط اتصال هاتفية/بريدية مخصصة لكل قسم. تُضاف هذه بالإضافة إلى الهاتف/البريد الإلكتروني العام أعلاه، وتساعد محركات البحث والمستخدمين على التواصل مباشرة مع القسم الصحيح."
"Customer service telephone","هاتف خدمة العملاء"
"Customer service email","بريد خدمة العملاء الإلكتروني"
"Customer service area served","المنطقة المخدومة لخدمة العملاء"
"Sales telephone","هاتف قسم المبيعات"
"Sales email","بريد قسم المبيعات الإلكتروني"
"Sales area served","المنطقة المخدومة لقسم المبيعات"
"Technical support telephone","هاتف الدعم الفني"
"Technical support email","بريد الدعم الفني الإلكتروني"
"Technical support area served","المنطقة المخدومة للدعم الفني"
"Controls how the customer service contact email is determined. Store information uses your Customer Support sender email.","يتحكم في كيفية تحديد بريد اتصال خدمة العملاء. تستخدم معلومات المتجر بريد المرسل الخاص بدعم العملاء."
"Customer service email value","قيمة بريد خدمة العملاء الإلكتروني"
"Enter the customer service contact email address when using custom specification.","أدخل عنوان بريد اتصال خدمة العملاء الإلكتروني عند استخدام التحديد المخصص."
"Controls how the sales contact email is determined. Store information uses your Sales Representative sender email.","يتحكم في كيفية تحديد بريد اتصال المبيعات. تستخدم معلومات المتجر بريد المرسل الخاص بممثل المبيعات."
"Sales email value","قيمة بريد قسم المبيعات الإلكتروني"
"Enter the sales contact email address when using custom specification.","أدخل عنوان بريد اتصال المبيعات الإلكتروني عند استخدام التحديد المخصص."
