"Conditions","Condiciones"
"Customer service email","Correo electrónico de atención al cliente"
"Customer service area served","Área de cobertura de atención al cliente"
"Sales telephone","Teléfono de ventas"
"Sales email","Correo electrónico de ventas"
"Sales area served","Área de cobertura de ventas"
"Technical support telephone","Teléfono de soporte técnico"
"Technical support email","Correo electrónico de soporte técnico"
"Technical support area served","Área de cobertura de soporte técnico"
"Controls how the customer service contact email is determined. Store information uses your Customer Support sender email.","Controla cómo se determina el correo electrónico de contacto de atención al cliente. La información de la tienda utiliza el correo del remitente de Atención al Cliente."
"Customer service email value","Valor del correo electrónico de atención al cliente"
"Enter the customer service contact email address when using custom specification.","Introduzca la dirección de correo electrónico de contacto de atención al cliente cuando use especificación personalizada."
"Controls how the sales contact email is determined. Store information uses your Sales Representative sender email.","Controla cómo se determina el correo electrónico de contacto de ventas. La información de la tienda utiliza el correo del remitente de Representante de Ventas."
"Sales email value","Valor del correo electrónico de ventas"
"Enter the sales contact email address when using custom specification.","Introduzca la dirección de correo electrónico de contacto de ventas cuando use especificación personalizada."
