"Conditions","Умови"
"Sales telephone","Телефон відділу продажів"
"Sales email","Пошта відділу продажів"
"Sales area served","Обслуговувана територія відділу продажів"
"Technical support telephone","Телефон технічної підтримки"
"Technical support email","Пошта технічної підтримки"
"Technical support area served","Обслуговувана територія технічної підтримки"
"Controls how the customer service contact email is determined. Store information uses your Customer Support sender email.","Керує тим, як визначається контактна електронна пошта служби підтримки клієнтів. Інформація з магазину використовує вашу електронну пошту відправника служби підтримки клієнтів."
"Customer service email value","Значення пошти служби підтримки клієнтів"
"Enter the customer service contact email address when using custom specification.","Введіть контактну адресу електронної пошти служби підтримки клієнтів при використанні власного визначення."
"Controls how the sales contact email is determined. Store information uses your Sales Representative sender email.","Керує тим, як визначається контактна електронна пошта відділу продажів. Інформація з магазину використовує вашу електронну пошту відправника торгового представника."
"Sales email value","Значення пошти відділу продажів"
"Enter the sales contact email address when using custom specification.","Введіть контактну адресу електронної пошти відділу продажів при використанні власного визначення."
