"Conditions","Podmínky"
"Enter your organization's full registered legal name, if it differs from the display name above. Helps search engines distinguish your official business identity.","Zadejte úplný registrovaný právní název vaší organizace, pokud se liší od zobrazovaného názvu výše. Pomáhá vyhledávačům rozlišit vaši oficiální obchodní identitu."
"Founding date","Datum založení"
"Enter the date your organization was founded, in YYYY-MM-DD format. Used by search engines for Knowledge Graph and trust signals.","Zadejte datum založení vaší organizace ve formátu RRRR-MM-DD. Používá se vyhledávači pro Knowledge Graph a signály důvěryhodnosti."
"Number of employees","Počet zaměstnanců"
"Enter the approximate number of employees in your organization.","Zadejte přibližný počet zaměstnanců vaší organizace."
"Area served","Obsluhovaná oblast"
"Enter the geographic area your organization serves, e.g. ""United States"" or ""Worldwide"".","Zadejte geografickou oblast, kterou vaše organizace obsluhuje, např. „Česká republika“ nebo „Celosvětově“."
"<strong><u>Contact points:</u></strong>","<strong><u>Kontaktní místa:</u></strong>"
"Define dedicated phone/email contact points by department. These are added in addition to the general telephone/email above, and help search engines and users reach the right department directly.","Definujte vyhrazená telefonní/e-mailová kontaktní místa podle oddělení. Ta se přidávají navíc k obecnému telefonu/e-mailu výše a pomáhají vyhledávačům a uživatelům oslovit přímo správné oddělení."
"Customer service telephone","Telefon zákaznického servisu"
"Customer service email","E-mail zákaznického servisu"
"Customer service area served","Obsluhovaná oblast zákaznického servisu"
"Sales telephone","Telefon obchodního oddělení"
"Sales email","E-mail obchodního oddělení"
"Sales area served","Obsluhovaná oblast obchodního oddělení"
"Technical support telephone","Telefon technické podpory"
"Technical support email","E-mail technické podpory"
"Technical support area served","Obsluhovaná oblast technické podpory"
"Controls how the customer service contact email is determined. Store information uses your Customer Support sender email.","Určuje, jak se stanoví e-mailový kontakt zákaznického servisu. Informace z obchodu použijí e-mail odesílatele pro zákaznickou podporu."
"Customer service email value","Hodnota e-mailu zákaznického servisu"
"Enter the customer service contact email address when using custom specification.","Zadejte kontaktní e-mailovou adresu zákaznického servisu při použití vlastní specifikace."
"Controls how the sales contact email is determined. Store information uses your Sales Representative sender email.","Určuje, jak se stanoví e-mailový kontakt obchodního oddělení. Informace z obchodu použijí e-mail odesílatele pro obchodní zástupce."
"Sales email value","Hodnota e-mailu obchodního oddělení"
"Enter the sales contact email address when using custom specification.","Zadejte kontaktní e-mailovou adresu obchodního oddělení při použití vlastní specifikace."
